id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,zipcode
9558200045,2014,289000,3,1.75,1260,8400,1,3,1954,98148
5072410070,2014,505000,3,1.75,2519,8690,2,5,1973,98166
9528102996,2014,549000,3,1.75,1540,1044,3,3,2014,98115
1189001180,2014,425000,3,2.25,1660,6000,1,3,1979,98122
3253500160,2014,317625,3,2.75,2770,3809,1.5,5,1925,98144
3394100030,2014,975000,4,2.5,2720,11049,2,3,1989,98004
3717000160,2014,287000,4,2.5,2240,4648,2,3,2005,98001
1274500060,2014,204000,3,1,1000,12070,1,4,1968,98042
1802000060,2014,1.325E+06,5,2.25,3200,20158,1,3,1965,98004
1525059190,2014,1.04E+06,5,3.25,4770,50094,1,4,1973,98005
1049000060,2015,325000,3,2,1260,5612,1,4,1972,98034
8820901275,2014,571000,4,2,2750,7807,1.5,5,1916,98125
5416510140,2014,360000,4,2.5,2380,5000,2,3,2005,98038
3444100400,2015,349000,3,1.75,1790,50529,1,5,1965,98042
3276920270,2014,832500,4,4,3430,35102,2,4,1986,98075
4036801170,2014,380000,4,1.75,1760,7300,1,3,1956,98008
2391600320,2015,480000,3,1,1040,5060,1,3,1941,98116
6300000287,2014,410000,3,1,1410,5060,1,4,1956,98133
1531000030,2015,720000,4,2.5,3450,39683,2,3,2002,98010
5104520400,2014,390000,3,2.5,2350,5100,2,3,2003,98038
7437100340,2014,360000,4,2.5,1900,5889,2,3,1992,98038
9418400240,2014,355000,2,1,2020,6720,1,3,1948,98118
1523059105,2015,356000,3,1.5,1680,8712,1,3,1964,98059
1133000671,2014,315000,3,1,960,6634,1,3,1952,98125
4232902595,2014,940000,3,1.5,2140,3600,2,3,1925,98119
2599001200,2014,305000,5,2.25,2660,8400,1.5,5,1961,98092
3342103156,2014,461000,3,3.25,2770,6278,2,3,2006,98056
1332700270,2014,215000,2,2.25,1610,2040,2,4,1979,98056
3869900162,2014,335000,2,1.75,1030,1066,2,3,2006,98136
2791500270,2014,243500,4,2.5,1980,7403,2,3,1988,98023
5036300431,2015,1.09988E+06,5,2.75,3520,6353,2,4,2001,98199
4168000060,2015,153000,3,1,1200,10500,1,3,1962,98023
6021501535,2014,430000,3,1.5,1580,5000,1,3,1939,98117
6021501535,2014,700000,3,1.5,1580,5000,1,3,1939,98117
1483300570,2014,905000,4,2.5,3300,10250,1,3,1946,98040
3422049190,2015,247500,3,1.75,1960,15681,1,3,1967,98032
1099611230,2014,199000,4,1.5,1160,6400,1,4,1975,98023
722079104,2014,314000,3,1.75,1810,41800,1,5,1980,98038
7338200240,2014,437500,3,2.5,2320,36847,2,3,1992,98045
1952200240,2014,850830,3,2.5,2070,13241,1.5,5,1910,98102
5200100125,2014,555000,3,2,1980,3478,1.5,4,1929,98117
7214720075,2014,699950,3,2.25,2190,107593,2,4,1983,98077
2450000295,2014,1.088E+06,3,2.5,2920,8113,2,3,1950,98004
6197800045,2014,290000,3,1,1210,33919,1,3,1954,98058
1328310370,2015,375000,3,2.5,2340,10005,1,4,1978,98058
546000875,2014,460000,3,1,1670,4005,1.5,4,1939,98117
3530510041,2014,188500,2,1.75,1240,2493,1,4,1985,98198
1853000400,2015,680000,4,2.5,3140,28037,2,4,1991,98077
3134100116,2014,470000,5,1.75,2030,12342,2,4,1942,98052
9545230140,2014,597750,4,2.5,2310,9624,2,3,1984,98027
3362400511,2015,570000,3,1.75,1260,3328,1,5,1905,98103
2525310310,2014,272500,3,1.75,1540,12600,1,4,1980,98038
6126500060,2014,329950,3,1.75,2080,5969,1,3,1971,98108
8961960160,2014,480000,4,2.5,3230,16171,2,3,2001,98001
3626039325,2014,740500,3,3.5,4380,6350,2,3,1900,98117
3362400431,2014,518500,3,3.5,1590,1102,3,3,2010,98103
4060000240,2014,205425,2,1,880,6780,1,4,1945,98178
3454800060,2015,171800,4,2,1570,9600,1,3,1950,98168
1695900060,2015,535000,4,1,1610,2982,1.5,4,1925,98144
7278700070,2015,660000,3,2.5,2400,6474,1,3,1964,98177
6675500070,2014,391500,3,2,1450,9132,1,3,1987,98034
3626039187,2015,395000,2,1,770,6000,1,3,1953,98117
3524049083,2014,445000,4,1.75,2100,4400,1.5,5,1924,98118
3275860240,2014,770000,3,2.25,2910,10204,2,3,1990,98052
4389200955,2015,1.45E+06,4,2.75,2750,17789,1.5,3,1914,98004
4058801670,2014,445000,3,2.25,2100,8201,1,3,1967,98178
8732020310,2014,260000,4,2.25,2160,8811,1,3,1978,98023
2331300505,2014,822500,5,3.5,2320,4960,2,5,1926,98103
7853210060,2015,430000,4,2.5,2070,4310,2,3,2004,98065
3668000070,2015,212000,3,1.75,1060,7875,1,4,1986,98092
9545240070,2015,660500,4,2.25,2010,9603,1,3,1986,98027
1243100136,2014,784000,3,3.5,3950,111078,1.5,3,1989,98052
8929000270,2014,453246,3,2.5,2010,2287,2,3,2014,98029
2767602356,2015,675000,4,3.5,2140,2278,3,3,2005,98107
921049315,2014,199000,3,1.75,1320,17390,1,4,1956,98003
3655000070,2014,220000,4,1.75,2020,7840,1,3,1968,98003
4027700812,2014,452000,4,2.25,2590,10002,1,4,1968,98028
3992700335,2014,382500,2,1,1190,4440,1,3,1981,98125
2767603505,2014,519950,3,2.25,1170,1249,3,3,2014,98107
4232901525,2014,665000,2,1,1110,3200,1,3,1925,98119
1777500060,2014,527700,5,2.5,2820,9375,1,4,1968,98006
1432900240,2015,205000,3,1,1610,8579,1,4,1962,98058
6140100875,2015,420000,3,1,1060,8097,1,4,1923,98133
6071600370,2015,500000,4,2.25,2030,8517,1,4,1961,98006
1526069017,2014,921500,4,2.5,3670,315374,2,4,1994,98077
809001525,2014,890000,4,1,2550,4000,2,3,1905,98109
3224079105,2014,430000,2,2.5,2420,60984,2,3,2007,98027
8075400570,2014,258000,5,2,2260,12500,1,4,1960,98032
1994200024,2014,511000,3,1,1430,3455,1,3,1947,98103
3362900810,2014,532170,3,2,1360,3090,2,3,1990,98103
1324300398,2015,560000,3,1,1110,5000,1.5,3,1947,98107
537000445,2015,282950,3,1,1250,8200,1,4,1954,98003
7855801670,2015,2.25E+06,4,3.25,5180,19850,2,3,2006,98006
7920100045,2014,350000,1,1,700,5100,1,3,1942,98115
8960000030,2014,215000,3,1,1180,7669,1,4,1967,98058
6388930390,2014,650000,5,3.5,3960,25245,2,3,1996,98056
8731900200,2014,320000,4,2.75,2640,7500,1,3,1967,98023
8029200135,2014,247000,3,2,1270,7198,1.5,3,1916,98022
1081200350,2014,320000,4,1.75,1760,11180,1,4,1968,98059
84000105,2014,255000,5,2.25,2060,8632,1,3,1962,98146
3756500060,2015,438000,3,1.75,1780,9660,1,3,1962,98034
7215720160,2015,900000,3,2.5,3400,16603,2,3,2000,98075
3574800520,2014,441000,3,2.75,1910,7280,1,3,1979,98034
2617300160,2014,420000,3,2,2020,38332,1,4,1975,98027
2558660270,2014,370000,3,1.75,1580,7000,1,3,1976,98034
2009000370,2015,269950,2,1.75,1340,7250,1,5,1949,98198
1836980160,2015,807100,4,2.5,2680,4499,2,3,1999,98006
3261020370,2014,653000,3,2.5,2680,9750,1,4,1979,98034
1755700060,2014,371500,3,2,1370,8336,1,5,1964,98133
4330600435,2015,284000,3,1.75,1560,21000,1,3,1954,98166
9542800700,2015,272000,3,1.75,2160,7140,1,4,1978,98023
1999700045,2014,313000,3,1.5,1340,7912,1.5,3,1955,98133
1762600070,2015,917500,4,2.5,3880,35003,2,3,1984,98033
1687900520,2014,673000,4,2.25,2590,8190,2,4,1980,98006
7234600798,2015,425000,3,2.5,1120,1100,2,3,2008,98122
3881900445,2014,399950,5,2.75,1970,5400,1,3,1986,98144
2254502445,2014,385000,3,1,1220,4800,1,3,1901,98122
5437810320,2014,269950,3,1.5,1950,7560,1,4,1975,98022
9158100075,2015,330000,2,1,1350,8220,1,3,1949,98177
3830630310,2014,260000,3,2.5,1670,5797,2,3,1988,98030
8123100045,2015,470000,4,3,2380,5125,1.5,4,1925,98126
3127200041,2014,589000,4,3,2440,9600,2,5,1961,98034
6661200320,2014,163500,2,1.5,1050,3419,2,3,1996,98038
11510310,2014,835000,4,2.75,3130,13412,2,3,1993,98052
825059270,2014,1.095E+06,5,3,4090,12850,1,4,1986,98033
8731951370,2015,269000,4,1.75,1490,10000,1,4,1969,98023
1954440060,2014,560000,3,2.5,1900,8744,2,3,1987,98074
2264500350,2015,615000,4,1,1330,2400,1.5,4,1901,98103
1115810060,2014,585188,3,2.25,2230,10026,1,3,1975,98052
9477200200,2014,305000,3,1.75,1650,9480,1,3,1977,98034
1432600560,2014,166950,3,1,1190,8820,1,3,1959,98058
2287000060,2014,799000,3,2.5,2140,9897,1,4,1959,98040
3663500060,2014,400000,3,2.5,2180,7508,1,4,1962,98133
3996900125,2014,230000,3,1,1060,10228,1,3,1948,98155
7796450200,2014,256883,3,2.5,1690,5025,2,3,2003,98023
7549802535,2014,423000,4,2,1970,6480,1.5,5,1920,98108
3278600320,2014,465000,3,2.5,2150,4084,2,3,2007,98126
2824079053,2015,440000,3,2.5,1910,66211,2,3,1997,98024
1222069094,2014,385000,3,1.75,1350,155073,1,4,1969,98038
3542300060,2015,210000,3,1,860,11725,1,4,1943,98056
2222059065,2014,297000,3,2.5,1940,14952,2,3,1994,98042
7551300060,2014,470000,3,1,1010,5000,1,3,1952,98107
100600550,2014,226500,3,1.5,1300,7370,1,4,1976,98023
3211100860,2015,274250,3,1,910,8450,1,4,1962,98059
3456000310,2014,840000,4,1.75,2480,11010,1,4,1966,98040
9526600140,2014,677900,3,2.5,2440,4587,2,3,2010,98052
7465900060,2015,425000,3,1,1010,5864,1,3,1915,98116
1222000055,2014,180250,2,0.75,900,9600,1,3,1941,98166
6300000550,2014,464000,6,3,2300,3404,2,3,1920,98133
2310030510,2015,320000,4,2.25,1550,7579,2,3,1993,98038
1025049114,2014,625504,3,2.25,1270,1566,2,3,2014,98105
8677300550,2014,592500,4,2.5,2240,12032,1,3,1983,98074
4014400292,2015,465000,3,2.5,2714,17936,2,3,2005,98001
1102000196,2014,477000,4,2.75,1720,6270,2,3,1978,98118
257000138,2015,280000,2,1,850,16400,1,3,1923,98168
46100204,2015,1.505E+06,5,3,3300,33474,1,3,1957,98040
1909600046,2014,445838,3,2.5,2250,5692,2,3,2000,98146
1250202145,2014,1.072E+06,2,2.25,3900,14864,1,3,1947,98144
7611200125,2014,467000,2,1.5,1320,10800,1,4,1947,98177
5611500140,2014,686000,4,2.5,2760,6440,2,3,1999,98075
7138000260,2014,279950,3,2,1750,9750,1,3,1961,98198
626059335,2014,527000,4,2.25,2330,19436,2,3,1987,98011
1922059282,2014,325000,3,2.25,2220,16020,1,4,1966,98030
705700390,2014,328000,3,2.25,2020,8379,2,3,1994,98038
7454001200,2014,390000,3,2.25,1250,7500,1,5,1942,98146
8682281200,2015,479950,2,2,1510,6516,1,3,2005,98053
7972000200,2014,264950,4,2.25,1720,9753,1,4,1978,98023
722059070,2015,235000,3,1,1430,15246,1,4,1961,98031
7202340400,2015,516500,3,2.5,1480,4729,2,3,2004,98053
8096000060,2015,655000,2,1.75,1450,15798,2,3,1915,98166
2424000060,2014,500000,4,2.75,2280,15347,1,5,1960,98059
9264902050,2014,315000,6,2.75,2940,7350,1,3,1978,98023
943100260,2014,213000,2,1,1000,10200,1,3,1961,98024
3677400445,2014,475000,3,1.5,2480,5280,1.5,5,1947,98108
1762600320,2014,1.025E+06,5,4,3760,28040,2,3,1983,98033
4058000060,2015,416000,3,2,2220,94300,1,5,1976,98010
7228500560,2015,410000,4,1,1970,4740,1.5,3,1904,98122
326069104,2014,800000,3,3.5,3830,221284,2,3,1993,98077
5152100060,2014,472000,6,2.5,4410,14034,1,4,1965,98003
3584000310,2014,225000,3,1.75,1430,8505,1,4,1968,98003
8150100045,2014,210000,2,1,830,6000,1,3,1940,98126
1868901275,2015,455000,2,1,1430,5000,1.5,2,1925,98115
6131600075,2015,225000,3,1,1300,8316,1,4,1954,98002
9468200125,2014,480000,2,1,1030,3060,1,4,1918,98103
8029510030,2015,363000,3,2.5,2740,11872,2,3,1990,98023
2025069065,2014,2.4E+06,4,2.5,3650,8354,1,3,2000,98074
7899800890,2015,181000,2,1.5,720,5120,1,3,1954,98106
3021059276,2015,250000,4,2,2010,7312,1,4,1976,98002
3797001895,2015,481000,3,1.75,1560,3000,1,4,1918,98103
3832710960,2014,260000,3,2,1810,7209,1,4,1978,98032
1310430400,2014,455000,4,2.5,3360,7685,2,3,2001,98058
1422300030,2015,415000,3,2.25,1510,36224,2,3,1991,98045
1105000588,2015,349500,3,1,1400,3538,1,3,1953,98118
3830630060,2014,245000,3,2.5,1730,7442,2,3,1987,98030
5101404898,2014,592500,2,2,1420,9191,1.5,5,1928,98115
7972601890,2014,385000,4,1.75,2360,7620,1,4,1955,98106
5127001620,2015,315000,3,1.75,1580,11455,1,4,1974,98059
9407100800,2014,255000,3,1,1230,10170,1,3,1979,98045
1873100060,2014,693000,4,2.5,2460,4425,2,3,2006,98052
8722101360,2014,780000,3,1,1660,4400,1.5,3,1911,98112
8644000060,2014,237000,3,1.75,1270,8470,1,4,1960,98198
3325069129,2014,525000,3,2.25,2100,40510,2,3,1979,98074
1400300055,2015,425000,2,1,770,5040,1,3,1930,98144
2123039032,2014,369900,1,0.75,760,10079,1,5,1936,98070
8078560140,2014,290000,4,2.5,1700,7280,2,4,1988,98031
3438500192,2014,285000,3,1,1120,10701,1,3,1954,98106
7974200510,2014,415000,2,1,1070,4500,1,3,1937,98115
2557000400,2015,272500,3,2.5,2070,9900,1,3,1979,98023
7960900060,2015,2.9E+06,4,3.25,5050,20100,1.5,3,1982,98004
4054500390,2014,1.365E+06,4,4.75,5310,57346,2,4,1989,98077
6378500125,2015,436000,2,1,1040,7538,1,4,1939,98133
1745100140,2014,210000,3,1,1700,11390,1,4,1967,98003
2976800796,2014,236000,3,1,1300,5898,1,3,1961,98178
4235400186,2014,331000,3,1.75,1080,1306,1,3,1954,98199
4215100060,2015,365000,3,2.5,2653,4510,2,3,2006,98031
9189700045,2015,450000,3,2,2290,16258,1,5,1960,98058
1126049053,2014,770000,4,2.75,3820,26300,2,3,2014,98028
2022069200,2015,455000,4,2.5,2210,49375,1,3,1997,98038
9412900055,2015,405000,3,1.75,2390,6000,1,3,1908,98118
1722059235,2014,304900,4,1.75,2600,11325,1,4,1969,98031
6874200960,2015,170000,2,1,860,5265,1,3,1931,98178
7424700045,2015,2.05E+06,5,3,3830,8480,2,5,1905,98122
7202360350,2014,780000,4,2.5,3500,7048,2,3,2005,98053
5634500392,2015,330000,3,3,2420,13959,1,4,1988,98028
1509500060,2014,370000,4,2.5,2720,8666,2,3,1992,98030
7214810350,2014,467000,5,2.25,2500,13500,1,3,1979,98072
6647200060,2015,405000,3,1.75,1670,6720,1,3,1980,98034
9552700140,2014,675000,5,2.25,2900,10300,1,3,1985,98006
2200500350,2014,500000,2,1,1640,14100,1,4,1954,98006
6113400046,2014,389999,4,2.5,1890,15770,2,4,1968,98166
6619910140,2015,630000,4,1.75,2950,9025,1,4,1975,98034
1115450240,2014,360000,4,2.5,2160,9528,2,3,1992,98001
6073240060,2014,580000,4,3,3280,11060,2,3,1986,98056
9297300045,2014,550000,3,2,1970,4166,2,5,1929,98126
9510920070,2014,879000,4,2.5,3360,22111,2,3,1994,98075
5468730030,2014,265000,3,2,1320,8959,1,3,1993,98042
8079030390,2015,446500,3,2.5,2650,7286,2,3,1990,98059
600000152,2014,404000,3,1.5,2030,8880,1,3,1963,98108
1840000030,2014,267500,3,1.75,1590,11914,1,3,1957,98188
3225069065,2014,3.075E+06,4,5,4550,18641,1,3,2002,98074
3260800030,2014,335000,3,2.5,2440,7632,2,3,1998,98003
2747100024,2014,576000,3,2.5,1940,9000,1,4,1948,98117
5104530560,2015,208633,3,2.5,2040,3810,2,3,2006,98038
4330600350,2015,315000,3,2.25,2200,8750,1,4,1964,98166
5016001535,2015,725000,3,1.75,1920,3300,1,4,1913,98112
7280300196,2015,550000,4,2.75,1800,7750,1,4,1965,98177
8651520400,2014,610750,4,2.25,2180,7297,2,3,1984,98074
7171200445,2015,550700,2,1,1010,5000,1.5,4,1908,98105
3204800200,2015,665000,4,2.75,3320,10574,2,5,1960,98056
3416600800,2015,834000,4,2.5,2370,4000,1.5,5,1928,98144
7994700030,2014,201000,5,1.75,1660,78408,1.5,3,1915,98065
1860600135,2014,2.384E+06,5,2.5,3650,9050,2,5,1921,98119
4139480200,2014,1.384E+06,4,3.25,4290,12103,1,3,1997,98006
4139480200,2014,1.4E+06,4,3.25,4290,12103,1,3,1997,98006
1328320800,2014,305000,4,2.25,1950,7700,1,3,1979,98058
7771300125,2015,487000,3,2,2590,14052,1,5,1948,98133
3422059208,2015,390000,3,2.5,1930,64904,1,4,1988,98042
9521101455,2014,548000,2,1,1470,3864,1,4,1916,98103
4337000335,2014,268750,4,1,800,8775,1,3,1943,98166
325059286,2014,819900,5,2.75,3150,7119,2,3,2013,98052
2597650240,2014,520000,3,2.25,2030,16200,2,3,1984,98027
3353400435,2014,230000,3,2,1450,11204,1,3,2003,98001
7972000240,2015,240000,3,1.75,1510,10248,1,3,1969,98023
7520000520,2014,232000,2,1,1240,12092,1,3,1922,98146
7520000520,2015,240500,2,1,1240,12092,1,3,1922,98146
3530210260,2014,274975,3,2.5,3030,45004,2,3,1987,98077
1959700550,2014,740000,4,2,2050,4400,1.5,4,1922,98102
1665400045,2015,186375,3,1,1000,7636,1,2,1952,98166
9542850320,2014,790000,3,2.25,2370,10289,1,4,1977,98005
3179100060,2014,880000,4,3.5,2800,6750,2,3,1951,98105
2946001550,2015,279000,6,1.75,2240,11180,2,4,1955,98198
8078490390,2014,295000,3,2,1810,10530,1,3,1991,98022
9550201550,2015,640000,2,1,1070,5000,1,3,1924,98103
191100045,2014,940000,4,2,2490,9525,2,5,1968,98040
5009600070,2014,260000,4,2.5,1960,5238,2,3,2003,98038
200350070,2014,559900,3,2.75,2930,5569,1,3,2004,98072
2877103726,2014,791500,4,2,1510,3500,1.5,5,1911,98103
405100295,2014,265000,3,1.75,1420,8250,1,3,1954,98133
4268200055,2015,245000,3,1.75,1740,11547,1,3,1954,98178
3126069068,2015,485000,4,1.75,2560,43995,2,4,1962,98052
1115300070,2014,684000,4,3.5,3040,8414,2,3,2010,98059
6414100671,2014,425000,3,1.75,2500,6840,1,3,1957,98125
7004200060,2014,309600,4,1.75,1275,20000,1,4,1991,98070
7852110140,2014,552250,4,2.5,2580,5823,2,3,2002,98065
3969300030,2014,165000,4,1,1000,7134,1,3,1943,98178
3969300030,2014,239900,4,1,1000,7134,1,3,1943,98178
4048400070,2014,320000,2,1,1070,32633,1,4,1930,98059
808000070,2014,206600,3,2,1390,13464,1,4,1987,98030
7374200030,2015,387000,4,1.75,2500,7690,1,3,1973,98155
7325600160,2014,299000,1,0.75,560,12120,1,3,1967,98014
2757000030,2014,855000,4,2.75,2270,10460,2,3,1965,98040
616000140,2015,315000,3,1,1900,14400,1,4,1954,98166
3363900111,2014,437500,2,1,990,3120,1,5,1907,98103
9262800171,2015,252000,4,1.5,1550,19800,1,4,1969,98001
6607000126,2014,375000,4,1.75,2200,7475,1,5,1955,98118
5416510830,2014,300000,4,2.5,1910,4862,2,3,2005,98038
2201500030,2014,420000,4,1,1750,9600,1.5,4,1954,98006
325059171,2014,900000,3,1,1330,77972,1,3,1928,98033
952003285,2014,679900,3,2.5,2440,5750,2,3,2000,98116
3211290370,2014,463000,3,2.5,1640,29970,2,3,1992,98053
1072010350,2014,380000,5,2.5,2760,11340,2,4,1978,98059
8856950070,2014,329500,4,2.5,1820,7912,2,3,1994,98038
925059078,2014,604950,3,2.5,2110,5608,1,3,2013,98033
7855801090,2014,795000,5,2.5,3040,9570,1,4,1966,98006
723099065,2015,465000,3,2,1840,40438,2,3,1994,98045
6116500075,2015,673000,4,2.5,2990,10400,2,3,2002,98166
1118500030,2014,810000,4,2.5,3520,15420,2,3,1991,98074
424069250,2015,785000,4,2.75,2440,69415,1,4,1989,98075
3291800710,2014,338000,4,3,2090,7500,1,3,1986,98056
6838700060,2014,280000,3,2.25,1430,7222,2,3,1993,98056
2231500030,2014,315000,4,2.25,2180,10754,1,5,1954,98133
2231500030,2015,530000,4,2.25,2180,10754,1,5,1954,98133
7683900200,2014,380000,5,3,3450,9914,2,3,2004,98023
8155830060,2014,297000,3,2.25,1450,7562,2,3,1994,98056
98020310,2014,730000,4,2.5,3230,7331,2,3,2004,98075
9423400140,2014,450000,3,1.75,1640,13500,1,3,1940,98125
1545804860,2014,275000,3,3,1590,7750,1,3,1997,98038
2883200160,2015,595000,4,2,2020,2849,2,3,1960,98115
7132300695,2015,435000,3,1.5,1300,3348,1.5,3,1904,98144
1726059053,2014,270000,2,1.5,1380,209959,1,1,1954,98011
624111000,2014,950000,3,3,4040,14338,2,3,1986,98077
808300310,2015,389000,4,2.25,2130,5337,2,3,2001,98019
8563040160,2015,560000,4,2.25,2550,7800,1,3,1968,98052
713500030,2014,1.35E+06,5,3.5,4800,14984,2,3,1998,98006
8651600160,2014,799000,4,2.25,2510,11585,2,4,1969,98040
9517200030,2014,365500,3,2,1410,9600,1,4,1983,98072
2460700700,2014,252350,3,2,1650,7352,1,3,1979,98058
1223039290,2014,403950,4,2.5,2120,13780,2,3,1993,98146
2890100060,2014,385000,4,1.5,2040,10726,1,3,1954,98177
7972600860,2014,345000,4,1,1550,7620,1.5,3,1957,98106
8857320070,2014,490000,3,2.75,1980,3128,2,4,1979,98008
4047200695,2014,330000,3,2.5,1600,26977,2,3,2005,98019
1653500070,2014,927000,4,2.75,3300,12090,2,3,1953,98004
1923000030,2014,1.118E+06,4,2.5,3840,16619,2,4,1983,98040
3649100320,2015,330000,2,1,1220,10000,1,5,1950,98028
7375300160,2015,530000,5,2.25,2720,8800,1,4,1958,98008
5175800060,2014,365000,4,2,1940,25600,1,1,1962,98006
1604601375,2014,378750,3,2.5,2160,3000,1.5,3,1909,98118
2473251090,2014,269900,4,1.75,1530,8750,1.5,4,1968,98058
9126100861,2015,557000,3,3.5,1710,2096,2,3,2008,98122
3420069065,2014,360000,4,1.75,3730,16980,1,4,1974,98022
6021501685,2015,352000,2,1,940,5000,1,4,1937,98117
1151100070,2015,437000,3,2.5,1750,22357,2,3,1994,98045
8856950240,2014,322500,4,2.5,1820,6753,2,3,1994,98038
9385200055,2014,650000,3,3.25,1510,2000,2,3,2001,98116
7821200390,2014,450000,3,2,1290,1213,3,3,2001,98103
8078520310,2015,278500,3,2,1570,5250,1,3,1998,98092
1565950030,2015,364950,4,2.5,1930,6957,2,3,1995,98055
1560930070,2014,840000,4,3.5,2840,40139,1,4,1986,98038
6700400140,2015,268000,3,2.5,1550,8134,2,3,1991,98031
2422029094,2014,517534,2,1,833,143947,1,3,2006,98070
1774220160,2014,632925,3,2.5,2990,32239,2,4,1978,98077
1525200060,2014,577500,3,2.5,2000,7251,2,3,1995,98034
1678400105,2015,339000,4,1.5,2390,7480,1.5,3,1920,98178
3426059070,2014,570000,3,1.75,2910,37461,1,4,1967,98052
824079032,2014,563500,4,1.75,2085,174240,1,3,1964,98024
2697100140,2015,423000,4,2.25,2200,9351,1,5,1962,98133
8724300030,2014,355000,3,2.25,1860,5028,2,3,2012,98019
8678500060,2014,1.55E+06,5,4.25,6070,171626,2,3,1999,98024
625049299,2014,482000,2,1,950,3960,1,3,1941,98103
6073200075,2014,625000,3,1.75,1600,9135,1,5,1955,98006
6388900710,2014,538000,3,2.5,2250,11632,2,3,1988,98056
1442860160,2015,380000,3,2.5,2280,10255,2,4,1985,98058
7942600310,2014,375000,2,1,940,5120,1,3,1909,98122
1545808560,2015,245000,3,2.5,1530,8500,1,5,1996,98038
